,Group,emmean,SE,df,lower.CL,upper.CL,Tassels
1,A427,1.776458627,0.576146468,48,0.618038513,2.934878741,NA
2,G01,-3.716751891,0.576146468,48,-4.875172005,-2.558331777,365
3,G02,-3.501429165,0.576146468,48,-4.659849279,-2.343009051,340
4,G03,-2.294405331,0.710515759,48,-3.722993013,-0.865817649,48
5,G04,-0.967927688,0.576146468,48,-2.126347802,0.190492426,133
6,G05,-0.61717708,0.576146468,48,-1.775597194,0.541243033,370
7,G06,-2.538843701,0.576146468,48,-3.697263815,-1.380423587,191
8,G07,-2.676068234,0.576146468,48,-3.834488348,-1.51764812,132
9,G08,-0.6296224,0.576146468,48,-1.788042514,0.528797714,128
10,G09,-1.521908327,0.576146468,48,-2.680328441,-0.363488213,162
11,G10,-0.93270964,0.576146468,48,-2.091129754,0.225710474,281
12,G11,-0.616523074,0.576146468,48,-1.774943188,0.54189704,426
13,G12,0.243102026,0.710515759,48,-1.185485656,1.671689707,93
14,G13,-0.666479148,0.576146468,48,-1.824899262,0.491940966,204
15,G14,-1.402370936,0.576146468,48,-2.56079105,-0.243950822,253
16,G15,-2.8299127,0.576146468,48,-3.988332814,-1.671492586,251
17,G16,-4.162522804,0.576146468,48,-5.320942917,-3.00410269,138
18,G17,-2.725873072,0.576146468,48,-3.884293186,-1.567452959,330
19,G18,-4.374939529,0.576146468,48,-5.533359643,-3.216519415,266
20,G19,-1.292145584,0.576146468,48,-2.450565698,-0.13372547,78
21,G20,-1.667845794,0.576146468,48,-2.826265908,-0.50942568,146
22,G21,-3.810393607,0.576146468,48,-4.968813721,-2.651973493,195
23,G22,-3.582784336,0.576146468,48,-4.74120445,-2.424364222,319
24,G23,-0.334858683,0.576146468,48,-1.493278797,0.823561431,210
25,G24,-1.730342124,0.576146468,48,-2.888762238,-0.57192201,127
26,Wf9,-4.807453817,0.576146468,48,-5.965873931,-3.649033703,NA
